"GeneID","Female1","Female2","Female3","Female4","Labium1","Labium2","Labium3","Labium4","Male1","Male2","Male3","Male4"
"gene15683",85.1721491046594,93.9768860698304,135.652675226084,132.082982309491,49.4933343130349,64.7830915416943,55.0071806590888,32.6610306121203,19.4970563000191,15.6714329015519,58.2036326546667,9.30735587542334
"gene15684",89.1345998897622,197.260524614667,0,0,50.7170842305229,69.5652387240844,62.7209535754987,71.8035617865673,0,0,1.98529724536264,0
"gene15685",19.8669077280068,23.4176099255528,29.2548178759812,19.6623530483448,16.2345218126607,19.6173973201918,17.1570015865253,15.404989211322,0,35.5007509158179,16.3290698431077,0
"gene15686",0,0,0,0,0,0,0,0,0,0,0,0
"gene15687",50.53815720575,82.7566770517221,1.36995741437119,12.0484457854205,25.5421187808348,21.9395728925892,23.0348632411682,28.6235874761045,0,0,85.0052401297584,0
"gene15688",49.9234748360377,4.18959122961868,162.165806474041,98.5510984628809,80.0577953152018,69.4841679019531,87.7236521796915,85.9408542783773,61.8589431762049,0,1.20809636988287,0
"gene15689",38.4548987476633,0,16.0929567428494,81.3084759379996,167.026006096284,175.955268891156,180.24978058019,170.657725887848,0,0,45.4350172700299,0
"gene15690",0,0,0,0,1.92512858039906,0,3.79160256055808,0.14514958355779,0,0,0,0
"gene15691",0,0,0,0,1.63149730572129,0,0,0,0,0,0,0
"gene15693",0,0,0,0,2.61991182746038,1.59067794871082,0.161250014910952,1.9259603577715,0,0,0,0
"gene15694",25.4071140397984,14.0105358528949,64.628870108742,24.2829679536275,3.72273795995973,4.28803269250762,4.4516029757468,7.26572027146144,0,0,0,0.325658018077045
"gene15695",0,0,0,0,10.4219855935487,9.74227406420358,12.5869650465479,24.1964028139405,0,0,0,0
"Or87",0,0,0,0,0,0,0,0,0,0,0,0
"gene15698",0,0,0,0,36.8441206751949,0,35.4390524574129,24.2909017834646,0,0,0,0
"Or86",0,0,0,0,0,0,0,0,0,0,0,0
"gene15700",0,0,0,0,8.90478920022367,0,4.57520042307341,3.85323761151412,0,0,0,0
"gene15702",0,0,0.286365291778236,106.594396100956,10.0038375166608,17.5799674403844,28.4474155337871,35.1876302705425,0,0,0,0
"gene15703",0,0,0,0,28.6740397939997,60.5970218982995,32.4480347618116,50.7488486720765,0,0,0,0
"gene15704",4.72216311240601,0,0,0,0.655964369450736,10.068224823557,7.36407447614416,13.0569045570885,0,0,0,0
"gene15705",77.3624655885082,150.039058129567,0,145.574265205325,92.8243350344057,117.456355111145,92.5821806923156,146.219169423515,0,0,0,0
"gene15706",0,0,0,0,0,0,0,0,0,0,0,0
"gene15707",0,0,0,0,0,0,0,0,0,0,0,0
"gene15708",21.1145879234855,3.41240217494395,157.859519108444,65.5324414983706,112.182572426196,142.427391237136,132.349547757622,129.063361130819,188.580563229223,0,199.811217635218,0
"gene15709",90.0797679592854,18.8557378621334,31.1282791192706,0,13.3496416299231,39.3446960259308,36.9878216021195,29.4793149027291,0,78.7102363162136,7.66466543656077,0
"gene15711",189.583104303559,7.17992757151384,260.143281275194,179.657625299073,193.125811715269,189.206640080429,175.211832239751,164.324391280051,0,0,0,0
"gene15712",0.794235489422792,7.77839660967548,0,1.9959209365225,13.1837006082234,16.865245179389,8.4539559071308,13.8353160250242,0,12.5072597155244,0.0564451537534364,5.47586865415955
"gene15713",0,3.19778286798515,0,0,0.366017093542259,0.444454132728023,0.720882419601904,0.579531057881468,0,0,0,0
"gene15715",228.359636508069,242.114272111648,27.8356770906472,230.32345431083,112.212155728685,72.8627558825069,76.4795155467145,80.6864393535855,0,0,0,321.864930110561
